{}{(1320,0)}{GREEN}
{}{(1314,0)}{GREEN}
{}{(1308,0)(1312,0)}{GREEN}
{}{(1302,0)(1303,0)}{GREEN}
{}{(1296,0)(1294,0)}{GREEN}
{}{(1290,0)(1285,0)}{GREEN}
{}{(1284,0)(1276,0)}{GREEN}
{}{(1278,0)(1267,0)}{GREEN}
{}{(1272,0)(1258,0)}{GREEN}
{}{(1266,0)(1249,0)}{GREEN}
{}{(1260,0)(1240,0)}{GREEN}
{}{(1254,0)(1231,0)}{GREEN}
{}{(1248,0)(1222,0)}{GREEN}
{}{(1242,0)(1213,0)}{GREEN}
{}{(1236,0)(1204,0)}{GREEN}
{}{(1230,0)(1195,0)}{GREEN}
{}{(1224,0)(1186,0)}{GREEN}
{}{(1218,0)(1177,0)}{GREEN}
{}{(1212,0)(1155,0)}{GREEN}
